City,State
New York[6],New York
Los Angeles,California
Chicago,Illinois
Houston[7],Texas
Philadelphia[8],Pennsylvania
Phoenix,Arizona
San Antonio,Texas
San Diego,California
Dallas,Texas
San Jose,California
Austin,Texas
Jacksonville[9],Florida
San Francisco[10],California
Indianapolis[11],Indiana
Columbus,Ohio
Fort Worth,Texas
Charlotte,North Carolina
Seattle,Washington
Denver[12],Colorado
El Paso,Texas
Detroit,Michigan
Washington[13],District of Columbia
Boston,Massachusetts
Memphis,Tennessee
Nashville[14],Tennessee
Portland,Oregon
Oklahoma City,Oklahoma
Las Vegas,Nevada
Baltimore[15],Maryland
Louisville[16],Kentucky
Milwaukee,Wisconsin
Albuquerque,New Mexico
Tucson,Arizona
Fresno,California
Sacramento,California
Kansas City,Missouri
Long Beach,California
Mesa,Arizona
Atlanta,Georgia
Colorado Springs,Colorado
Virginia Beach[15],Virginia
Raleigh,North Carolina
Omaha,Nebraska
Miami,Florida
Oakland,California
Minneapolis,Minnesota
Tulsa,Oklahoma
Wichita,Kansas
New Orleans[17],Louisiana
Arlington,Texas
Cleveland,Ohio
Bakersfield,California
Tampa,Florida
Aurora,Colorado
Honolulu[2],Hawai'i
Anaheim,California
Santa Ana,California
Corpus Christi,Texas
Riverside,California
St. Louis[15],Missouri
Lexington[18],Kentucky
Stockton,California
Pittsburgh,Pennsylvania
Saint Paul,Minnesota
Anchorage[19],Alaska
Cincinnati,Ohio
Henderson,Nevada
Greensboro,North Carolina
Plano,Texas
Newark,New Jersey
Toledo,Ohio
Lincoln,Nebraska
Orlando,Florida
Chula Vista,California
Jersey City,New Jersey
Chandler,Arizona
Fort Wayne,Indiana
Buffalo,New York
Durham,North Carolina
St. Petersburg,Florida
Irvine,California
Laredo,Texas
Lubbock,Texas
Madison,Wisconsin
Gilbert[20],Arizona
Norfolk[15],Virginia
Reno,Nevada
Winston�Salem,North Carolina
Glendale,Arizona
Hialeah,Florida
Garland,Texas
Scottsdale,Arizona
